"","ETR","STR","HHIsum","ROA","SIZE","LEV","INTANG","QUICK","EQINC","OUTINSTI","RELAT","FAM_Dum","GDP"
"ETR"," 1.00 ","-0.01   "," 0.04***"," 0.06***"," 0.02** "," 0.02*  "," 0.01   ","-0.02*  ","-0.01   ","-0.05***"," 0.00   "," 0.01   "," 0.04***"
"STR",""," 1.00 "," 0.03***"," 0.01   ","-0.16***","-0.12***"," 0.05***"," 0.10***","-0.02** ","-0.11***"," 0.01   ","-0.02** ","-0.01   "
"HHIsum","",""," 1.00 "," 0.01   "," 0.15***"," 0.02** ","-0.02*  ","-0.07***"," 0.12***"," 0.11***","-0.05***"," 0.05***","-0.03***"
"ROA","","",""," 1.00 "," 0.10***","-0.26***","-0.04***"," 0.09***"," 0.17***"," 0.17***"," 0.01   ","-0.05***","-0.03***"
"SIZE","","","",""," 1.00 "," 0.29***"," 0.04***","-0.21***"," 0.16***"," 0.39***"," 0.02** "," 0.03***"," 0.08***"
"LEV","","","","",""," 1.00 ","-0.06***","-0.57***","-0.04***"," 0.04***"," 0.03***"," 0.06***","-0.08***"
"INTANG","","","","","",""," 1.00 "," 0.05***","-0.03***"," 0.05***"," 0.00   "," 0.01   "," 0.06***"
"QUICK","","","","","","",""," 1.00 "," 0.01   ","-0.02*  ","-0.01   ","-0.08***"," 0.08***"
"EQINC","","","","","","","",""," 1.00 "," 0.12***"," 0.00   "," 0.00   "," 0.08***"
"OUTINSTI","","","","","","","","",""," 1.00 ","-0.01   ","-0.04***"," 0.07***"
"RELAT","","","","","","","","","",""," 1.00 ","-0.02*  ","-0.03***"
"FAM_Dum","","","","","","","","","","",""," 1.00 ","-0.01   "
"GDP","","","","","","","","","","","",""," 1.00 "
