"","ETR_Estimate","ETR_Std. Error","ETR_t value","ETR_Pr(>|t|)","CETR_Estimate","CETR_Std. Error","CETR_t value","CETR_Pr(>|t|)"
"(Intercept)",-1.50388894209994,0.236420709977317,-6.36107108486487,2.05980122305802e-10,-1.25743493986177,0.212798010109218,-5.90905403305413,3.51305058912486e-09
"STR",-0.00073069440093479,0.000503884772157102,-1.45012201461602,0.147044770209031,0.000137661124640211,0.000453537580737557,0.303527492509755,0.761491980883166
"HHI_Dum",-0.0180381490076486,0.0043637907104928,-4.13359627084673,3.59012484926991e-05,-0.0142325045024795,0.00392776918661251,-3.62355928423437,0.000291507555927572
"ROA",0.211002049872593,0.0218944566854593,9.63723616913158,6.41485175527321e-22,0.106670223733373,0.0197068049391071,5.41286241290653,6.29492246203949e-08
"SIZE",0.00537571002394873,0.00171918922213077,3.12688676426558,0.00176995376555576,0.00529750741303244,0.00154741116167759,3.42346465130138,0.000619885089193044
"LEV",0.0424916833744247,0.0153391398724794,2.77014772195023,0.00560976922195634,0.0183095363986348,0.0138064826975765,1.32615502439653,0.184807932023919
"INTANG",0.124783107869519,0.0701859506038757,1.77789296569888,0.0754410740243953,0.144798259635358,0.0631731062289829,2.29208706487392,0.0219139848969183
"QUICK",-0.000652166121774076,0.00105892764681954,-0.61587410974946,0.53798667116448,-0.00242086575917222,0.000953121645368779,-2.53993367051857,0.0110970465166478
"EQINC",-0.782911244443556,0.288880829113861,-2.71015299577036,0.0067326306531118,-0.939756944411738,0.260016415651694,-3.6142215946496,0.000302207232993207
"OUTINSTI",-0.0956323626783617,0.010131212063356,-9.43938021238921,4.27334471596953e-21,-0.0835072545335557,0.00911892095782771,-9.1575806961977,5.95974844282623e-20
"RELAT",-4.97466482652195e-05,0.000217702923299495,-0.228507029263832,0.819255112420013,5.66354810059932e-05,0.000195950468457425,0.289029576973421,0.772562616720168
"FAM_Dum",0.00554967026490141,0.00428746699091414,1.29439370067737,0.195548786255015,0.00631696102214093,0.00385907158540815,1.6369121127544,0.101669174920779
"GDP",0.0988823810338422,0.0144925784890226,6.82296674182174,9.24889944275802e-12,0.0826723182425381,0.0130445080894628,6.33771068065952,2.39660855778784e-10
