"","Var1","Freq"
"1","中國",15684
"2","中東",3
"3","丹麥",25
"4","以色列",9
"5","伊朗",3
"6","俄羅斯",21
"7","克羅埃西",3
"8","其他",21
"9","加拿大",98
"10","匈牙利",16
"11","北歐",1
"12","北美",15
"13","南美洲",7
"14","南非",17
"15","南韓",18
"16","印尼",169
"17","印度",202
"18","厄瓜多",6
"19","台灣",15446
"20","史瓦濟蘭",30
"21","哥倫比亞",15
"22","哥斯大黎加",6
"23","土耳其",28
"24","埃及",3
"25","塞席爾",134
"26","塞爾維亞",9
"27","墨西哥",129
"28","夏威夷",3
"29","外國",3718
"30","多明尼加",2
"31","奧地利",3
"32","孟加拉",6
"33","安圭拉",5
"34","宏都拉斯",3
"35","寮國",5
"36","尼加拉瓜",14
"37","巴哈馬",55
"38","巴基斯坦",2
"39","巴拉圭",3
"40","巴拿馬",469
"41","巴西",103
"42","希臘",7
"43","庫克",3
"44","德國",423
"45","愛爾蘭",11
"46","挪威",12
"47","捷克",75
"48","斯洛伐克",18
"49","新加坡",864
"50","日本",728
"51","智利",6
"52","杜拜",9
"53","柬埔寨",55
"54","模里西斯",629
"55","歐洲",85
"56","比利時",34
"57","汶萊",340
"58","沙烏地阿拉",9
"59","法國",69
"60","波蘭",58
"61","泰國",387
"62","澳洲",121
"63","澳門",30
"64","玻利維亞",2
"65","瑞典",22
"66","瑞士",38
"67","瓜地馬拉",9
"68","白俄羅斯",3
"69","百慕達",133
"70","盧森堡",10
"71","祕魯",4
"72","秘魯",3
"73","立陶宛",3
"74","紐埃",3
"75","紐西蘭",24
"76","維京",5111
"77","緬甸",19
"78","羅馬尼亞",3
"79","美國",2478
"80","美洲",6
"81","義大利",77
"82","聖啟斯",3
"83","聖文森",5
"84","肯亞",3
"85","芬蘭",11
"86","英國",289
"87","荷蘭",369
"88","莫三比克",3
"89","菲律賓",217
"90","葡萄牙",5
"91","薩摩亞",3383
"92","薩爾瓦多",3
"93","西班牙",62
"94","西薩摩亞",134
"95","貝里斯",96
"96","賴比瑞亞",28
"97","賴索多",16
"98","越南",647
"99","開曼",1377
"100","關島",7
"101","阿拉伯",6
"102","阿拉伯聯合",6
"103","阿曼蘇丹國",1
"104","阿根廷",14
"105","韓國",232
"106","香港",3855
"107","馬來西亞",703
"108","馬紹爾",69
"109","高棉",18
