"","ETR.SH_Estimate","ETR.SH_Std. Error","ETR.SH_t value","ETR.SH_Pr(>|t|)","CETR.SH_Estimate","CETR.SH_Std. Error","CETR.SH_t value","CETR.SH_Pr(>|t|)"
"(Intercept)",-1.14464913641237,0.418850173023992,-2.73283672810325,0.0062882287653772,-1.03475880896668,0.376467199566082,-2.74860282691122,0.0059938250486868
"STR",-0.000291871919371453,0.000845780221965612,-0.345091918433771,0.730031244452967,-0.000781032454115259,0.000760196681579344,-1.02740839711721,0.304248658804604
"HHI_Dum",0.00619601063102514,0.0190115634959751,0.325907473750745,0.744499975436589,-0.00477515210581532,0.0170878049709974,-0.279447952145991,0.77990583384667
"STR_HHI",-0.00193473286188014,0.00121534037536571,-1.59192675656641,0.111427185820431,-0.000781137523205847,0.00109236146264481,-0.715090700210686,0.474566744522888
"ROA",0.215896435148028,0.0252261965881334,8.5584219719269,1.28108216368817e-17,0.10497932597703,0.0226735863964751,4.63002738699296,3.69408082113027e-06
"SIZE",0.00606667201382569,0.00196772469160145,3.08308984469177,0.00205322529772691,0.00821356112267337,0.00176861286415608,4.64406953558636,3.45195886879673e-06
"LEV",0.0305249189211842,0.0174458286987908,1.74969727424298,0.080195816965194,0.0230046304445393,0.0156805051002501,1.46708478441631,0.142378883953941
"INTANG",0.164839269153218,0.0758878796369004,2.17214224381973,0.0298642144815076,0.196242289165922,0.0682088712573489,2.87707867830723,0.00402074652144117
"QUICK",-0.000915849242067955,0.00114974092897537,-0.79657009591208,0.425716319954395,-0.00198790959697135,0.00103339994975499,-1.92365946741401,0.05442062607026
"EQINC",-1.34371996674381,0.35444046356557,-3.79110204638142,0.000150705969703043,-1.19036837234304,0.318575035478834,-3.73654002911388,0.000187424465486364
"OUTINSTI",-0.0968989591761719,0.0115594262830318,-8.38267893263965,5.74130764199207e-17,-0.0917253935526533,0.0103897410616905,-8.82845809226825,1.20582956880971e-18
"RELAT",-1.26784211344738e-05,0.000237385648131123,-0.0534085410566637,0.957407278504375,0.00013184296802745,0.000213364863917542,0.61792258390961,0.536637956771602
"FAM_Dum",0.00386206532319493,0.00488842975068012,0.790042103531837,0.429518603496599,0.0038964610539229,0.00439377509439073,0.886813951605598,0.375196633418361
"GDP",0.0765840306059222,0.0254865512716616,3.00488009498074,0.00266227680952043,0.0674580169693204,0.0229075960851763,2.94478812698174,0.00323788471504971
