"","ETR.PR_Estimate","ETR.PR_Std. Error","ETR.PR_t value","ETR.PR_Pr(>|t|)","CTR.PR_Estimate","CTR.PR_Std. Error","CTR.PR_t value","CTR.PR_Pr(>|t|)"
"(Intercept)",-1.1344392773611,0.418818563894847,-2.70866521963893,0.00676491184652927,-1.0326396317828,0.37641024496322,-2.74338875097222,0.00608978376489986
"STR.PR",-0.00451073109915652,0.0029795066099462,-1.51391880927492,0.13007245067029,-0.00431640283331411,0.00267781065502378,-1.61191487725848,0.107006444098214
"HHI_Dum",-0.0230191119364629,0.00486822647014837,-4.72843900702125,2.2879627796698e-06,-0.0165477580930912,0.00437528437403518,-3.78209887139969,0.000156257209919589
"ROA",0.215904921432715,0.0252086076594321,8.56473012510596,1.2132450030414e-17,0.104447974203796,0.0226560592157774,4.61015630339893,4.06469198093024e-06
"SIZE",0.00610130712329783,0.00196328153104904,3.10770871462215,0.00188978934815688,0.00831225786551142,0.001764485497399,4.71086777293686,2.49397879961943e-06
"LEV",0.0308019959113907,0.0174500575441416,1.7651515379519,0.0775634235542618,0.0232290682321334,0.0156831167504355,1.48115126615304,0.138592206989645
"INTANG",0.155478376713459,0.0757667894432477,2.05206499913683,0.0401847325248869,0.191021645760901,0.0680948702683817,2.80522813257488,0.00503608947642957
"QUICK",-0.00105604564978903,0.00114715336928817,-0.920579303571527,0.357288393376938,-0.00204937143020781,0.00103099603973752,-1.98775878007209,0.0468607881061587
"EQINC",-1.32783190177079,0.354431206883821,-3.74637412276747,0.00018023897151361,-1.18186760336665,0.318542559730576,-3.7102345267969,0.000207990977061414
"OUTINSTI",-0.096040627286216,0.0115574166157321,-8.30986979871301,1.05945324041448e-16,-0.0912083643239833,0.0103871470715466,-8.78088696499058,1.83783248672978e-18
"RELAT",-1.96453838072308e-05,0.000237392421390841,-0.0827548903715288,0.934047801873956,0.000128069769821014,0.000213354772666126,0.600266721107886,0.548339691843763
"FAM_Dum",0.00378381097776432,0.0048874795474006,0.774184513933514,0.438836752421211,0.00391052908618129,0.00439258794209437,0.89025629941441,0.37334591207002
"GDP",0.0763639798471283,0.0254884189457575,2.99602654874907,0.00274074698326972,0.0671824703495837,0.022907537645601,2.93276699525517,0.00336583267735761
