"","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"M1100.水泥工業",0,0,7,7,7,7,7,7,7,7,7,7,7,7,7
"M1200.食品工業",7,10,19,22,22,22,24,24,24,24,25,25,26,27,27
"M1300.塑膠工業",0,17,25,25,25,25,25,25,25,25,27,27,28,27,28
"M1400.紡織纖維",23,38,47,52,52,53,53,53,54,54,55,55,56,56,56
"M1500.電機機械",15,32,52,63,63,66,69,69,70,71,75,78,83,88,90
"M1600.電器電纜",6,7,12,14,14,15,15,15,15,16,16,17,17,17,17
"M1721.化學工業",12,21,30,34,35,36,37,38,38,39,39,40,40,40,42
"M1722.生技醫療",6,14,28,40,41,43,44,49,57,63,78,82,88,90,93
"M1800.玻璃陶瓷",0,0,0,0,0,0,0,0,0,0,5,5,5,5,5
"M1900.造紙工業",0,5,6,6,7,7,7,7,7,7,7,7,7,7,7
"M2000.鋼鐵工業",14,26,34,36,36,38,39,39,40,40,41,41,42,42,43
"M2100.橡膠工業",0,0,5,9,8,11,11,11,11,11,11,11,12,12,12
"M2200.汽車工業",0,0,0,5,5,5,5,5,5,6,5,6,6,6,7
"M2324.半導體",10,47,75,95,98,102,113,113,118,123,127,134,138,143,145
"M2325.電腦及週邊",0,36,63,79,86,90,93,95,99,103,104,106,108,108,108
"M2326.光電業",5,26,53,65,73,80,90,95,98,107,116,117,120,123,122
"M2327.通信網路業",8,28,46,52,62,64,67,69,72,76,79,80,82,86,87
"M2328.電子零組件",13,64,121,154,161,171,178,183,186,192,195,198,202,205,206
"M2329.電子通路業",0,10,25,33,34,34,35,36,36,36,36,36,35,36,36
"M2330.資訊服務業",6,17,25,28,28,28,29,29,29,32,33,34,35,35,36
"M2500.建材營造",21,44,61,64,64,66,68,67,68,70,70,71,71,71,71
"M2600.航運業",0,14,19,19,20,20,20,21,22,22,24,25,25,27,27
"M2700.觀光事業",0,11,14,15,15,15,16,17,18,20,22,26,28,32,32
"M2900.貿易百貨",0,6,19,21,22,22,22,22,22,22,25,28,29,30,30
"M3200.文化創意業",0,0,8,11,11,12,12,12,13,15,16,19,20,20,21
"M9700.油電燃氣業",8,10,12,12,12,12,12,12,12,12,12,12,12,12,12
