"","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"M1100.水泥工業",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1300.塑膠工業",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1800.玻璃陶瓷",1,2,4,4,4,4,4,4,4,4,0,0,0,0,0
"M1900.造紙工業",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2100.橡膠工業",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2200.汽車工業",0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"M2325.電腦及週邊",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2329.電子通路業",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2600.航運業",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2700.觀光事業",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2900.貿易百貨",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3200.文化創意業",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"M3300.農業科技",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
